name,state,population,latitude,longitude,display_photo
New York,New York,8175133,40.7143528,-74.0059731,upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Manhattan3_amk.jpg/320px-Manhattan3_amk.jpg
Los Angeles,California,3792621,34.0522342,-118.2436849,upload.wikimedia.org/wikipedia/commons/thumb/5/57/LA_Skyline_Mountains2.jpg/320px-LA_Skyline_Mountains2.jpg
Chicago,Illinois,2695598,41.8781136,-87.6297982,upload.wikimedia.org/wikipedia/commons/thumb/0/0b/ChicagovanafSearsTower.jpg/320px-ChicagovanafSearsTower.jpg
Houston,Texas,2099451,29.7601927,-95.3693896,upload.wikimedia.org/wikipedia/commons/thumb/4/44/Panoramic_Houston_skyline.jpg/320px-Panoramic_Houston_skyline.jpg
Philadelphia,Pennsylvania,1526006,39.952335,-75.163789,upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Philly_skyline.jpg/320px-Philly_skyline.jpg
Phoenix,Arizona,1445632,33.4483771,-112.0740373,upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Downtown_Phoenix_Aerial_Looking_Northeast.jpg/320px-Downtown_Phoenix_Aerial_Looking_Northeast.jpg
San Antonio,Texas,1327407,29.4241219,-98.4936282,upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Downtown_San_Antonio_View.JPG/320px-Downtown_San_Antonio_View.JPG
San Diego,California,1307402,32.7153292,-117.1572551,upload.wikimedia.org/wikipedia/commons/thumb/c/c5/San_Diego_Skyline_during_winter_of_January_2011.jpg/320px-San_Diego_Skyline_during_winter_of_January_2011.jpg
Dallas,Texas,1197816,32.802955,-96.769923,upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Xvisionx_Dallas_Stemmons.jpg/320px-Xvisionx_Dallas_Stemmons.jpg
San Jose,California,945942,37.3393857,-121.8949555,upload.wikimedia.org/wikipedia/en/thumb/1/1c/Downtown_San_Jose.PNG/320px-Downtown_San_Jose.PNG
Jacksonville,Florida,821784,30.3321838,-81.655651,upload.wikimedia.org/wikipedia/commons/thumb/a/a2/NightJXFL11.jpg/320px-NightJXFL11.jpg
Indianapolis,Indiana,820445,39.7685155,-86.1580736,upload.wikimedia.org/wikipedia/commons/thumb/1/16/Downtown_indy_from_parking_garage_zoom.JPG/320px-Downtown_indy_from_parking_garage_zoom.JPG
San Francisco,California,805235,37.7749295,-122.4194155,upload.wikimedia.org/wikipedia/commons/thumb/0/07/FinancialNorth.jpg/320px-FinancialNorth.jpg
Austin,Texas,790390,30.267153,-97.7430608,upload.wikimedia.org/wikipedia/commons/thumb/0/06/AustinSkylineLouNeffPoint-2010-03-29-b.JPG/320px-AustinSkylineLouNeffPoint-2010-03-29-b.JPG
Columbus,Ohio,787033,39.9611755,-82.9987942,upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Columbus-ohio-skyline-panorama.jpg/320px-Columbus-ohio-skyline-panorama.jpg
Fort Worth,Texas,741206,32.725409,-97.3208496,upload.wikimedia.org/wikipedia/commons/thumb/d/db/FortWorthTexasSkylineW.jpg/320px-FortWorthTexasSkylineW.jpg
Charlotte,North Carolina,731424,35.2270869,-80.8431267,upload.wikimedia.org/wikipedia/commons/thumb/a/a3/CharlotteSkyline2008123456789.jpg/320px-CharlotteSkyline2008123456789.jpg
Detroit,Michigan,713777,42.331427,-83.0457538,upload.wikimedia.org/wikipedia/commons/thumb/a/a0/DetroitSkyline.jpg/320px-DetroitSkyline.jpg
